Name,S wB97X Energy,S HOMO Energy,S LUMO Energy,S Gap Energy,T wB97X Energy,T HOMO Energy,T LUMO Energy,T Gap Energy,Atom,Group,E_TS
S2,-127243.57209086991,-5.8277534906183,-0.03186453189355,5.79588895872475,-127241.94221810435,-4.3662844223529,0.41584438633410004,4.782128808686999,S,2,1.629872765566688
Se1,-417147.8845078521,-6.7345456860245,-0.9450786141715499,5.78946707185295,-417146.38151834643,-5.43577348897305,-0.50409090805125,4.9316825809218,Se,1,1.5029895056504756
qS1,-92182.24285284076,-5.19522484513105,-2.3484785867402502,2.8467462583908,-92183.4712863014,-6.07926832263545,-0.40106860425195,5.6781997183835,qS,1,-1.2284334606374614
N1,-37357.01203217082,-6.61168628252375,-0.00628582994655,6.6054004525772,-37354.90672423535,-4.8203880160673,0.30729817136965,5.12768618743695,N,1,2.105307935467863
N2,-74517.52554423014,-5.7210848612223,0.46041663504600006,6.1815014962683,-74515.72691034572,-4.1395047393462,0.8908191123818501,5.03032385172805,N,2,1.7986338844202692
qS3,-117243.88070668512,-6.1989712054704,-1.22916547409355,4.96980573137685,-117242.53457726295,-5.6382534051301,-0.7852661497729001,4.8529872553572,qS,3,1.346129422163358
Se2,-454310.9249979731,-5.60813040187975,-0.19641177729089998,5.4117186245888504,-454309.63788180007,-4.4571160256498,0.36917686097335,4.82629288662315,Se,2,1.2871161730145104
S1,-90081.02906135812,-6.8064381653266,-0.69555021326305,6.110887952063551,-90079.24501560607,-5.2342731826778,-0.3366592558386,4.8976139268392,S,1,1.784045752050588
N3,-62415.032700655334,-5.328751111571401,-1.49338802292905,3.8353630886423504,-62415.28614096496,-5.453705791721,-0.4326065995249,5.0210991921961,N,3,-0.25344030962878605
qS2,-129345.55084630565,-4.67178664230925,-1.39167186561215,3.2801147766971,-129345.38791636894,-5.4389027982538,0.18552722327090002,5.6244300215247,qS,2,0.16292993670504075
Se3,-442205.30098173633,-5.46886253319385,-2.0861880462433,3.38267448695055,-442205.9377248267,-5.9096053368487,-0.91383994413415,4.99576539271455,Se,3,-0.6367430903483182
S3,-115138.42415931159,-5.4610528656845005,-2.02863596686255,3.4324168988219506,-115138.96716560234,-5.72878568319145,-0.84994761203675,4.8788380711547,S,3,-0.5430062907544198
